Time,south_north,west_east,XLAT,XLONG,XTIME,T2
0,5,48,27.631123,-79.04834,2024-08-25,301.62244
0,5,49,27.568085,-78.75574,2024-08-25,301.68323
0,5,50,27.504108,-78.463684,2024-08-25,301.6959
0,5,51,27.43922,-78.17218,2024-08-25,302.04947
0,5,52,27.373405,-77.881165,2024-08-25,301.72614
0,5,53,27.306686,-77.59073,2024-08-25,301.6128
0,5,54,27.239048,-77.30084,2024-08-25,301.6444
0,5,55,27.170494,-77.011475,2024-08-25,301.10492
0,5,56,27.101044,-76.72269,2024-08-25,301.6115
0,5,57,27.030693,-76.43448,2024-08-25,301.55402
0,5,58,26.959446,-76.14682,2024-08-25,301.40668
0,5,59,26.887314,-75.85974,2024-08-25,301.24762
0,5,60,26.814278,-75.57324,2024-08-25,301.68973
0,5,61,26.740368,-75.28735,2024-08-25,301.67914
0,5,62,26.665573,-75.002045,2024-08-25,301.68243
0,5,63,26.589909,-74.71735,2024-08-25,301.31927
0,5,64,26.513363,-74.43323,2024-08-25,301.79077
0,5,65,26.435947,-74.14975,2024-08-25,301.65213
0,5,66,26.357658,-73.86688,2024-08-25,301.4843
0,5,67,26.278526,-73.584595,2024-08-25,301.60666
0,5,68,26.198532,-73.30298,2024-08-25,301.63577
0,5,69,26.11768,-73.02197,2024-08-25,301.9756
0,5,70,26.035984,-72.74161,2024-08-25,301.86356
0,5,71,25.953438,-72.46188,2024-08-25,301.8872
0,5,72,25.870056,-72.1828,2024-08-25,301.8438
0,6,0,29.780418,-93.5477,2024-08-25,303.20728
0,6,1,29.764927,-93.23764,2024-08-25,303.28418
0,6,2,29.748379,-92.927734,2024-08-25,304.03873
0,6,3,29.730804,-92.61798,2024-08-25,304.56042
0,6,4,29.71217,-92.30841,2024-08-25,302.76578
0,6,5,29.69252,-91.99896,2024-08-25,303.93005
0,6,6,29.671825,-91.68973,2024-08-25,303.2597
0,6,7,29.650085,-91.38068,2024-08-25,302.53937
0,6,8,29.627327,-91.07181,2024-08-25,302.77063
0,6,9,29.603535,-90.76315,2024-08-25,302.90668
0,6,10,29.57869,-90.45471,2024-08-25,302.25378
0,6,11,29.552841,-90.146515,2024-08-25,302.301
0,6,12,29.525967,-89.83853,2024-08-25,301.53662
0,6,13,29.498043,-89.53079,2024-08-25,301.71878
0,6,14,29.469105,-89.22333,2024-08-25,301.91867
0,6,15,29.43914,-88.91608,2024-08-25,302.0163
0,6,16,29.408165,-88.60913,2024-08-25,301.80988
0,6,17,29.37616,-88.30243,2024-08-25,300.9409
0,6,18,29.343143,-87.99603,2024-08-25,300.95016
0,6,19,29.309101,-87.68994,2024-08-25,301.37738
0,6,20,29.274055,-87.384155,2024-08-25,301.3777
0,6,21,29.237991,-87.078674,2024-08-25,301.19684
0,6,22,29.200924,-86.7735,2024-08-25,301.10104
0,6,23,29.162838,-86.46866,2024-08-25,301.18555
0,6,24,29.123756,-86.164154,2024-08-25,300.72186
0,6,25,29.083672,-85.859985,2024-08-25,300.7838
0,6,26,29.04258,-85.55618,2024-08-25,300.94574
0,6,27,29.000484,-85.25275,2024-08-25,300.96466
0,6,28,28.957409,-84.94968,2024-08-25,301.20358
0,6,29,28.913338,-84.64697,2024-08-25,301.37946
0,6,30,28.86826,-84.344666,2024-08-25,301.2948
0,6,31,28.822212,-84.042725,2024-08-25,301.34955
0,6,32,28.775166,-83.74121,2024-08-25,301.5667
0,6,33,28.727127,-83.440094,2024-08-25,301.9391
0,6,34,28.67812,-83.139404,2024-08-25,301.96033
0,6,35,28.62814,-82.83911,2024-08-25,301.978
0,6,36,28.577183,-82.539276,2024-08-25,300.2034
